 #energy      xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
   0.000      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00
   0.037      0.5685E+04      0.5685E+04      0.5685E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.074      0.6914E+04      0.6914E+04      0.6914E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.111      0.7434E+04      0.7434E+04      0.7434E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.147      0.7698E+04      0.7698E+04      0.7698E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.184      0.7845E+04      0.7845E+04      0.7845E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.221      0.7935E+04      0.7935E+04      0.7935E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.258      0.7991E+04      0.7991E+04      0.7991E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.295      0.8035E+04      0.8035E+04      0.8035E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.332      0.8066E+04      0.8066E+04      0.8066E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.369      0.8093E+04      0.8093E+04      0.8093E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.406      0.8112E+04      0.8112E+04      0.8112E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.443      0.8131E+04      0.8131E+04      0.8131E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.479      0.8148E+04      0.8148E+04      0.8148E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.516      0.8163E+04      0.8163E+04      0.8163E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.553      0.8177E+04      0.8177E+04      0.8177E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.590      0.8193E+04      0.8193E+04      0.8193E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.627      0.8208E+04      0.8208E+04      0.8208E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.664      0.8222E+04      0.8222E+04      0.8222E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.701      0.8237E+04      0.8237E+04      0.8237E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.738      0.8252E+04      0.8252E+04      0.8252E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.774      0.8266E+04      0.8266E+04      0.8266E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.811      0.8284E+04      0.8284E+04      0.8284E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.848      0.8300E+04      0.8300E+04      0.8300E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.885      0.8316E+04      0.8316E+04      0.8316E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.922      0.8335E+04      0.8335E+04      0.8335E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.959      0.8354E+04      0.8354E+04      0.8354E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.996      0.8371E+04      0.8371E+04      0.8371E+04      0.0000E+00      0.0000E+00      0.0000E+00
   1.032      0.8391E+04      0.8391E+04      0.8391E+04      0.0000E+00      0.0000E+00      0.0000E+00
   1.069      0.8411E+04      0.8411E+04      0.8411E+04      0.0000E+00      0.0000E+00      0.0000E+00
   1.106      0.8432E+04      0.8432E+04      0.8432E+04      0.0000E+00      0.0000E+00      0.0000E+00
   1.143      0.8454E+04      0.8454E+04      0.8454E+04      0.0000E+00      0.0000E+00      0.0000E+00
   1.180      0.8474E+04      0.8474E+04      0.8474E+04      0.0000E+00      0.0000E+00      0.0000E+00
   1.217      0.8496E+04      0.8496E+04      0.8496E+04      0.0000E+00      0.0000E+00      0.0000E+00
   1.254      0.8520E+04      0.8520E+04      0.8520E+04      0.0000E+00      0.0000E+00      0.0000E+00
   1.291      0.8549E+04      0.8549E+04      0.8549E+04      0.0000E+00      0.0000E+00      0.0000E+00
   1.327      0.8572E+04      0.8572E+04      0.8572E+04      0.0000E+00      0.0000E+00      0.0000E+00
   1.364      0.8598E+04      0.8598E+04      0.8598E+04      0.0000E+00      0.0000E+00      0.0000E+00
   1.401      0.8627E+04      0.8627E+04      0.8627E+04      0.0000E+00      0.0000E+00      0.0000E+00
   1.438      0.8655E+04      0.8655E+04      0.8655E+04      0.0000E+00      0.0000E+00      0.0000E+00
   1.475      0.8683E+04      0.8683E+04      0.8683E+04      0.0000E+00      0.0000E+00      0.0000E+00
   1.512      0.8711E+04      0.8711E+04      0.8711E+04      0.0000E+00      0.0000E+00      0.0000E+00
   1.549      0.8741E+04      0.8741E+04      0.8741E+04      0.0000E+00      0.0000E+00      0.0000E+00
   1.586      0.8772E+04      0.8772E+04      0.8772E+04      0.0000E+00      0.0000E+00      0.0000E+00
   1.623      0.8806E+04      0.8806E+04      0.8806E+04      0.0000E+00      0.0000E+00      0.0000E+00
   1.659      0.8839E+04      0.8839E+04      0.8839E+04      0.0000E+00      0.0000E+00      0.0000E+00
   1.696      0.8875E+04      0.8875E+04      0.8875E+04      0.0000E+00      0.0000E+00      0.0000E+00
   1.733      0.8911E+04      0.8911E+04      0.8911E+04      0.0000E+00      0.0000E+00      0.0000E+00
   1.770      0.8951E+04      0.8951E+04      0.8951E+04      0.0000E+00      0.0000E+00      0.0000E+00
   1.807      0.8985E+04      0.8985E+04      0.8985E+04      0.0000E+00      0.0000E+00      0.0000E+00
   1.844      0.9026E+04      0.9026E+04      0.9026E+04      0.0000E+00      0.0000E+00      0.0000E+00
   1.881      0.9068E+04      0.9068E+04      0.9068E+04      0.0000E+00      0.0000E+00      0.0000E+00
   1.918      0.9110E+04      0.9110E+04      0.9110E+04      0.0000E+00      0.0000E+00      0.0000E+00
   1.954      0.9153E+04      0.9153E+04      0.9153E+04      0.0000E+00      0.0000E+00      0.0000E+00
   1.991      0.9192E+04      0.9192E+04      0.9192E+04      0.0000E+00      0.0000E+00      0.0000E+00
   2.028      0.9239E+04      0.9239E+04      0.9239E+04      0.0000E+00      0.0000E+00      0.0000E+00
   2.065      0.9289E+04      0.9289E+04      0.9289E+04      0.0000E+00      0.0000E+00      0.0000E+00
   2.102      0.9335E+04      0.9335E+04      0.9335E+04      0.0000E+00      0.0000E+00      0.0000E+00
   2.139      0.9383E+04      0.9383E+04      0.9383E+04      0.0000E+00      0.0000E+00      0.0000E+00
   2.176      0.9435E+04      0.9435E+04      0.9435E+04      0.0000E+00      0.0000E+00      0.0000E+00
   2.213      0.9491E+04      0.9491E+04      0.9491E+04      0.0000E+00      0.0000E+00      0.0000E+00
   2.249      0.9542E+04      0.9542E+04      0.9542E+04      0.0000E+00      0.0000E+00      0.0000E+00
   2.286      0.9599E+04      0.9599E+04      0.9599E+04      0.0000E+00      0.0000E+00      0.0000E+00
   2.323      0.9652E+04      0.9652E+04      0.9652E+04      0.0000E+00      0.0000E+00      0.0000E+00
   2.360      0.9717E+04      0.9717E+04      0.9717E+04      0.0000E+00      0.0000E+00      0.0000E+00
   2.397      0.9771E+04      0.9771E+04      0.9771E+04      0.0000E+00      0.0000E+00      0.0000E+00
   2.434      0.9839E+04      0.9839E+04      0.9839E+04      0.0000E+00      0.0000E+00      0.0000E+00
   2.471      0.9904E+04      0.9904E+04      0.9904E+04      0.0000E+00      0.0000E+00      0.0000E+00
   2.508      0.9966E+04      0.9966E+04      0.9966E+04      0.0000E+00      0.0000E+00      0.0000E+00
   2.544      0.1003E+05      0.1003E+05      0.1003E+05      0.0000E+00      0.0000E+00      0.0000E+00
   2.581      0.1011E+05      0.1011E+05      0.1011E+05      0.0000E+00      0.0000E+00      0.0000E+00
   2.618      0.1018E+05      0.1018E+05      0.1018E+05      0.0000E+00      0.0000E+00      0.0000E+00
   2.655      0.1025E+05      0.1025E+05      0.1025E+05      0.0000E+00      0.0000E+00      0.0000E+00
   2.692      0.1033E+05      0.1033E+05      0.1033E+05      0.0000E+00      0.0000E+00      0.0000E+00
   2.729      0.1041E+05      0.1041E+05      0.1041E+05      0.0000E+00      0.0000E+00      0.0000E+00
   2.766      0.1049E+05      0.1049E+05      0.1049E+05      0.0000E+00      0.0000E+00      0.0000E+00
   2.803      0.1058E+05      0.1058E+05      0.1058E+05      0.0000E+00      0.0000E+00      0.0000E+00
   2.840      0.1066E+05      0.1066E+05      0.1066E+05      0.0000E+00      0.0000E+00      0.0000E+00
   2.876      0.1076E+05      0.1076E+05      0.1076E+05      0.0000E+00      0.0000E+00      0.0000E+00
   2.913      0.1084E+05      0.1084E+05      0.1084E+05      0.0000E+00      0.0000E+00      0.0000E+00
   2.950      0.1095E+05      0.1095E+05      0.1095E+05      0.0000E+00      0.0000E+00      0.0000E+00
   2.987      0.1105E+05      0.1105E+05      0.1105E+05      0.0000E+00      0.0000E+00      0.0000E+00
   3.024      0.1115E+05      0.1115E+05      0.1115E+05      0.0000E+00      0.0000E+00      0.0000E+00
   3.061      0.1126E+05      0.1126E+05      0.1126E+05      0.0000E+00      0.0000E+00      0.0000E+00
   3.098      0.1137E+05      0.1137E+05      0.1137E+05      0.0000E+00      0.0000E+00      0.0000E+00
   3.135      0.1147E+05      0.1147E+05      0.1147E+05      0.0000E+00      0.0000E+00      0.0000E+00
   3.171      0.1160E+05      0.1160E+05      0.1160E+05      0.0000E+00      0.0000E+00      0.0000E+00
   3.208      0.1172E+05      0.1172E+05      0.1172E+05      0.0000E+00      0.0000E+00      0.0000E+00
   3.245      0.1184E+05      0.1184E+05      0.1184E+05      0.0000E+00      0.0000E+00      0.0000E+00
   3.282      0.1198E+05      0.1198E+05      0.1198E+05      0.0000E+00      0.0000E+00      0.0000E+00
   3.319      0.1211E+05      0.1211E+05      0.1211E+05      0.0000E+00      0.0000E+00      0.0000E+00
   3.356      0.1226E+05      0.1226E+05      0.1226E+05      0.0000E+00      0.0000E+00      0.0000E+00
   3.393      0.1240E+05      0.1240E+05      0.1240E+05      0.0000E+00      0.0000E+00      0.0000E+00
   3.429      0.1255E+05      0.1255E+05      0.1255E+05      0.0000E+00      0.0000E+00      0.0000E+00
   3.466      0.1271E+05      0.1271E+05      0.1271E+05      0.0000E+00      0.0000E+00      0.0000E+00
