 #energy      xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
   0.000      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00
   0.020      0.5915E+04      0.5915E+04      0.5915E+04      0.1208E+03      0.1208E+03      0.1208E+03
   0.039      0.7769E+04      0.7769E+04      0.7769E+04      0.1705E+03      0.1705E+03      0.1705E+03
   0.059      0.8892E+04      0.8892E+04      0.8892E+04      0.2104E+03      0.2104E+03      0.2104E+03
   0.078      0.9613E+04      0.9613E+04      0.9613E+04      0.2445E+03      0.2445E+03      0.2445E+03
   0.098      0.1012E+05      0.1012E+05      0.1012E+05      0.2807E+03      0.2807E+03      0.2807E+03
   0.117      0.1047E+05      0.1047E+05      0.1047E+05      0.3036E+03      0.3036E+03      0.3036E+03
   0.137      0.1073E+05      0.1073E+05      0.1073E+05      0.3261E+03      0.3261E+03      0.3261E+03
   0.157      0.1092E+05      0.1092E+05      0.1092E+05      0.3557E+03      0.3557E+03      0.3557E+03
   0.176      0.1107E+05      0.1107E+05      0.1107E+05      0.3797E+03      0.3797E+03      0.3797E+03
   0.196      0.1118E+05      0.1118E+05      0.1118E+05      0.3983E+03      0.3983E+03      0.3983E+03
   0.215      0.1127E+05      0.1127E+05      0.1127E+05      0.4380E+03      0.4380E+03      0.4380E+03
   0.235      0.1135E+05      0.1135E+05      0.1135E+05      0.4477E+03      0.4477E+03      0.4477E+03
   0.254      0.1141E+05      0.1141E+05      0.1141E+05      0.4848E+03      0.4848E+03      0.4848E+03
   0.274      0.1146E+05      0.1146E+05      0.1146E+05      0.4846E+03      0.4846E+03      0.4846E+03
   0.293      0.1151E+05      0.1151E+05      0.1151E+05      0.5193E+03      0.5193E+03      0.5193E+03
   0.313      0.1155E+05      0.1155E+05      0.1155E+05      0.5538E+03      0.5538E+03      0.5538E+03
   0.333      0.1158E+05      0.1158E+05      0.1158E+05      0.5394E+03      0.5394E+03      0.5394E+03
   0.352      0.1161E+05      0.1161E+05      0.1161E+05      0.5710E+03      0.5710E+03      0.5710E+03
   0.372      0.1164E+05      0.1164E+05      0.1164E+05      0.6028E+03      0.6028E+03      0.6028E+03
   0.391      0.1167E+05      0.1167E+05      0.1167E+05      0.6344E+03      0.6344E+03      0.6344E+03
   0.411      0.1169E+05      0.1169E+05      0.1169E+05      0.6005E+03      0.6005E+03      0.6005E+03
   0.430      0.1172E+05      0.1172E+05      0.1172E+05      0.6292E+03      0.6292E+03      0.6292E+03
   0.450      0.1174E+05      0.1174E+05      0.1174E+05      0.6577E+03      0.6577E+03      0.6577E+03
   0.469      0.1176E+05      0.1176E+05      0.1176E+05      0.6863E+03      0.6863E+03      0.6863E+03
   0.489      0.1178E+05      0.1178E+05      0.1178E+05      0.7148E+03      0.7148E+03      0.7148E+03
   0.508      0.1180E+05      0.1180E+05      0.1180E+05      0.7435E+03      0.7435E+03      0.7435E+03
   0.528      0.1182E+05      0.1182E+05      0.1182E+05      0.7720E+03      0.7720E+03      0.7720E+03
   0.548      0.1185E+05      0.1185E+05      0.1185E+05      0.8007E+03      0.8007E+03      0.8007E+03
   0.567      0.1187E+05      0.1187E+05      0.1187E+05      0.7313E+03      0.7313E+03      0.7313E+03
   0.587      0.1189E+05      0.1189E+05      0.1189E+05      0.7564E+03      0.7564E+03      0.7564E+03
   0.606      0.1191E+05      0.1191E+05      0.1191E+05      0.7817E+03      0.7817E+03      0.7817E+03
   0.626      0.1193E+05      0.1193E+05      0.1193E+05      0.8068E+03      0.8068E+03      0.8068E+03
   0.645      0.1195E+05      0.1195E+05      0.1195E+05      0.8321E+03      0.8321E+03      0.8321E+03
   0.665      0.1197E+05      0.1197E+05      0.1197E+05      0.8572E+03      0.8572E+03      0.8572E+03
   0.684      0.1199E+05      0.1199E+05      0.1199E+05      0.8825E+03      0.8825E+03      0.8825E+03
   0.704      0.1201E+05      0.1201E+05      0.1201E+05      0.9078E+03      0.9078E+03      0.9078E+03
   0.724      0.1204E+05      0.1204E+05      0.1204E+05      0.9329E+03      0.9329E+03      0.9329E+03
   0.743      0.1206E+05      0.1206E+05      0.1206E+05      0.9582E+03      0.9582E+03      0.9582E+03
   0.763      0.1208E+05      0.1208E+05      0.1208E+05      0.9833E+03      0.9833E+03      0.9833E+03
   0.782      0.1211E+05      0.1211E+05      0.1211E+05      0.1009E+04      0.1009E+04      0.1009E+04
   0.802      0.1213E+05      0.1213E+05      0.1213E+05      0.1034E+04      0.1034E+04      0.1034E+04
   0.821      0.1216E+05      0.1216E+05      0.1216E+05      0.1059E+04      0.1059E+04      0.1059E+04
   0.841      0.1218E+05      0.1218E+05      0.1218E+05      0.1084E+04      0.1084E+04      0.1084E+04
   0.861      0.1221E+05      0.1221E+05      0.1221E+05      0.1109E+04      0.1109E+04      0.1109E+04
