#K-Path             Spin-Up       Spin-Down
#Band-index    1
  0.000      -29.9110      -29.9109
  0.031      -29.9110      -29.9109
  0.062      -29.9110      -29.9109
  0.093      -29.9110      -29.9109
  0.124      -29.9110      -29.9109
  0.155      -29.9110      -29.9109
  0.185      -29.9110      -29.9109
  0.216      -29.9110      -29.9109
  0.247      -29.9110      -29.9109
  0.278      -29.9110      -29.9109
  0.309      -29.9110      -29.9109
  0.340      -29.9110      -29.9109
  0.371      -29.9110      -29.9109
  0.402      -29.9110      -29.9109
  0.433      -29.9110      -29.9109
  0.464      -29.9110      -29.9109
  0.494      -29.9110      -29.9109
  0.525      -29.9110      -29.9109
  0.556      -29.9110      -29.9109
  0.587      -29.9110      -29.9109
  0.587      -29.9110      -29.9109
  0.598      -29.9110      -29.9109
  0.609      -29.9110      -29.9109
  0.620      -29.9110      -29.9109
  0.631      -29.9110      -29.9109
  0.642      -29.9110      -29.9109
  0.653      -29.9110      -29.9109
  0.664      -29.9110      -29.9109
  0.675      -29.9110      -29.9109
  0.686      -29.9110      -29.9109
  0.696      -29.9110      -29.9109
  0.707      -29.9110      -29.9109
  0.718      -29.9110      -29.9109
  0.729      -29.9110      -29.9109
  0.740      -29.9110      -29.9109
  0.751      -29.9110      -29.9109
  0.762      -29.9110      -29.9109
  0.773      -29.9110      -29.9109
  0.784      -29.9110      -29.9109
  0.795      -29.9110      -29.9109
  0.795      -29.9110      -29.9109
  0.828      -29.9110      -29.9109
  0.860      -29.9110      -29.9109
  0.893      -29.9110      -29.9109
  0.926      -29.9110      -29.9109
  0.959      -29.9110      -29.9109
  0.991      -29.9110      -29.9109
  1.024      -29.9110      -29.9109
  1.057      -29.9110      -29.9109
  1.090      -29.9110      -29.9109
  1.123      -29.9110      -29.9109
  1.155      -29.9110      -29.9109
  1.188      -29.9110      -29.9109
  1.221      -29.9110      -29.9109
  1.254      -29.9110      -29.9109
  1.286      -29.9110      -29.9109
  1.319      -29.9110      -29.9109
  1.352      -29.9110      -29.9109
  1.385      -29.9110      -29.9109
  1.418      -29.9110      -29.9109
  1.418      -29.9110      -29.9109
  1.444      -29.9110      -29.9109
  1.471      -29.9110      -29.9109
  1.498      -29.9110      -29.9109
  1.525      -29.9110      -29.9109
  1.551      -29.9110      -29.9109
  1.578      -29.9110      -29.9109
  1.605      -29.9110      -29.9109
  1.632      -29.9110      -29.9109
  1.658      -29.9110      -29.9109
  1.685      -29.9110      -29.9109
  1.712      -29.9110      -29.9109
  1.739      -29.9110      -29.9109
  1.765      -29.9110      -29.9109
  1.792      -29.9110      -29.9109
  1.819      -29.9110      -29.9109
  1.846      -29.9110      -29.9109
  1.873      -29.9110      -29.9109
  1.899      -29.9110      -29.9109
  1.926      -29.9110      -29.9109
  1.926      -29.9110      -29.9109
  1.948      -29.9110      -29.9109
  1.970      -29.9110      -29.9109
  1.992      -29.9110      -29.9109
  2.013      -29.9110      -29.9109
  2.035      -29.9110      -29.9109
  2.057      -29.9110      -29.9109
  2.079      -29.9110      -29.9109
  2.101      -29.9110      -29.9109
  2.123      -29.9110      -29.9109
  2.145      -29.9110      -29.9109
  2.166      -29.9110      -29.9109
  2.188      -29.9110      -29.9109
  2.210      -29.9110      -29.9109
  2.232      -29.9110      -29.9109
  2.254      -29.9110      -29.9109
  2.276      -29.9110      -29.9109
  2.298      -29.9110      -29.9109
  2.319      -29.9110      -29.9109
  2.341      -29.9110      -29.9109
  2.341      -29.9110      -29.9109
  2.357      -29.9110      -29.9109
  2.372      -29.9110      -29.9109
  2.388      -29.9110      -29.9109
  2.403      -29.9110      -29.9109
  2.419      -29.9110      -29.9109
  2.434      -29.9110      -29.9109
  2.449      -29.9110      -29.9109
  2.465      -29.9110      -29.9109
  2.480      -29.9110      -29.9109
  2.496      -29.9110      -29.9109
  2.511      -29.9110      -29.9109
  2.527      -29.9110      -29.9109
  2.542      -29.9110      -29.9109
  2.558      -29.9110      -29.9109
  2.573      -29.9110      -29.9109
  2.588      -29.9110      -29.9109
  2.604      -29.9110      -29.9109
  2.619      -29.9110      -29.9109
  2.635      -29.9110      -29.9109
#Band-index    2
  2.635      -29.9110      -29.9109
  2.619      -29.9110      -29.9109
  2.604      -29.9110      -29.9109
  2.588      -29.9110      -29.9109
  2.573      -29.9110      -29.9109
  2.558      -29.9110      -29.9109
  2.542      -29.9110      -29.9109
  2.527      -29.9110      -29.9109
  2.511      -29.9110      -29.9109
  2.496      -29.9110      -29.9109
  2.480      -29.9110      -29.9109
  2.465      -29.9110      -29.9109
  2.449      -29.9110      -29.9109
  2.434      -29.9110      -29.9109
  2.419      -29.9110      -29.9109
  2.403      -29.9110      -29.9109
  2.388      -29.9110      -29.9109
  2.372      -29.9110      -29.9109
  2.357      -29.9110      -29.9109
  2.341      -29.9110      -29.9109
  2.341      -29.9110      -29.9109
  2.319      -29.9110      -29.9109
  2.298      -29.9110      -29.9109
  2.276      -29.9110      -29.9109
  2.254      -29.9110      -29.9109
  2.232      -29.9110      -29.9109
  2.210      -29.9110      -29.9109
  2.188      -29.9110      -29.9109
  2.166      -29.9110      -29.9109
  2.145      -29.9110      -29.9109
  2.123      -29.9110      -29.9109
  2.101      -29.9110      -29.9109
  2.079      -29.9110      -29.9109
  2.057      -29.9110      -29.9109
  2.035      -29.9110      -29.9109
  2.013      -29.9110      -29.9109
  1.992      -29.9110      -29.9109
  1.970      -29.9110      -29.9109
  1.948      -29.9110      -29.9109
  1.926      -29.9110      -29.9109
  1.926      -29.9110      -29.9109
  1.899      -29.9110      -29.9109
  1.873      -29.9110      -29.9109
  1.846      -29.9110      -29.9109
  1.819      -29.9110      -29.9109
  1.792      -29.9110      -29.9109
  1.765      -29.9110      -29.9109
  1.739      -29.9110      -29.9109
  1.712      -29.9110      -29.9109
  1.685      -29.9110      -29.9109
  1.658      -29.9110      -29.9109
  1.632      -29.9110      -29.9109
  1.605      -29.9110      -29.9109
  1.578      -29.9110      -29.9109
  1.551      -29.9110      -29.9109
  1.525      -29.9110      -29.9109
  1.498      -29.9110      -29.9109
  1.471      -29.9110      -29.9109
  1.444      -29.9110      -29.9109
  1.418      -29.9110      -29.9109
  1.418      -29.9110      -29.9109
  1.385      -29.9110      -29.9109
  1.352      -29.9110      -29.9109
  1.319      -29.9110      -29.9109
  1.286      -29.9110      -29.9109
  1.254      -29.9110      -29.9109
  1.221      -29.9110      -29.9109
  1.188      -29.9110      -29.9109
  1.155      -29.9110      -29.9109
  1.123      -29.9110      -29.9109
  1.090      -29.9110      -29.9109
  1.057      -29.9110      -29.9109
  1.024      -29.9110      -29.9109
  0.991      -29.9110      -29.9109
  0.959      -29.9110      -29.9109
  0.926      -29.9110      -29.9109
  0.893      -29.9110      -29.9109
  0.860      -29.9110      -29.9109
  0.828      -29.9110      -29.9109
  0.795      -29.9110      -29.9109
  0.795      -29.9110      -29.9109
  0.784      -29.9110      -29.9109
  0.773      -29.9110      -29.9109
  0.762      -29.9110      -29.9109
  0.751      -29.9110      -29.9109
  0.740      -29.9110      -29.9109
  0.729      -29.9110      -29.9109
  0.718      -29.9110      -29.9109
  0.707      -29.9110      -29.9109
  0.696      -29.9110      -29.9109
  0.686      -29.9110      -29.9109
  0.675      -29.9110      -29.9109
  0.664      -29.9110      -29.9109
  0.653      -29.9110      -29.9109
  0.642      -29.9110      -29.9109
  0.631      -29.9110      -29.9109
  0.620      -29.9110      -29.9109
  0.609      -29.9110      -29.9109
  0.598      -29.9110      -29.9109
  0.587      -29.9110      -29.9109
  0.587      -29.9110      -29.9109
  0.556      -29.9110      -29.9109
  0.525      -29.9110      -29.9109
  0.494      -29.9110      -29.9109
  0.464      -29.9110      -29.9109
  0.433      -29.9110      -29.9109
  0.402      -29.9110      -29.9109
  0.371      -29.9110      -29.9109
  0.340      -29.9110      -29.9109
  0.309      -29.9110      -29.9109
  0.278      -29.9110      -29.9109
  0.247      -29.9110      -29.9109
  0.216      -29.9110      -29.9109
  0.185      -29.9110      -29.9109
  0.155      -29.9110      -29.9109
  0.124      -29.9110      -29.9109
  0.093      -29.9110      -29.9109
  0.062      -29.9110      -29.9109
  0.031      -29.9110      -29.9109
  0.000      -29.9110      -29.9109
#Band-index    3
  0.000      -29.9110      -29.9109
  0.031      -29.9110      -29.9109
  0.062      -29.9110      -29.9109
  0.093      -29.9110      -29.9109
  0.124      -29.9110      -29.9109
  0.155      -29.9110      -29.9109
  0.185      -29.9110      -29.9109
  0.216      -29.9110      -29.9109
  0.247      -29.9110      -29.9109
  0.278      -29.9110      -29.9109
  0.309      -29.9110      -29.9109
  0.340      -29.9110      -29.9109
  0.371      -29.9110      -29.9109
  0.402      -29.9110      -29.9109
  0.433      -29.9110      -29.9109
  0.464      -29.9110      -29.9109
  0.494      -29.9110      -29.9109
  0.525      -29.9110      -29.9109
  0.556      -29.9110      -29.9109
  0.587      -29.9110      -29.9109
  0.587      -29.9110      -29.9109
  0.598      -29.9110      -29.9109
  0.609      -29.9110      -29.9109
  0.620      -29.9110      -29.9109
  0.631      -29.9110      -29.9109
  0.642      -29.9110      -29.9109
  0.653      -29.9110      -29.9109
  0.664      -29.9110      -29.9109
  0.675      -29.9110      -29.9109
  0.686      -29.9110      -29.9109
  0.696      -29.9110      -29.9109
  0.707      -29.9110      -29.9109
  0.718      -29.9110      -29.9109
  0.729      -29.9110      -29.9109
  0.740      -29.9110      -29.9109
  0.751      -29.9110      -29.9109
  0.762      -29.9110      -29.9109
  0.773      -29.9110      -29.9109
  0.784      -29.9110      -29.9109
  0.795      -29.9110      -29.9109
  0.795      -29.9110      -29.9109
  0.828      -29.9110      -29.9109
  0.860      -29.9110      -29.9109
  0.893      -29.9110      -29.9109
  0.926      -29.9110      -29.9109
  0.959      -29.9110      -29.9109
  0.991      -29.9110      -29.9109
  1.024      -29.9110      -29.9109
  1.057      -29.9110      -29.9109
  1.090      -29.9110      -29.9109
  1.123      -29.9110      -29.9109
  1.155      -29.9110      -29.9109
  1.188      -29.9110      -29.9109
  1.221      -29.9110      -29.9109
  1.254      -29.9110      -29.9109
  1.286      -29.9110      -29.9109
  1.319      -29.9110      -29.9109
  1.352      -29.9110      -29.9109
  1.385      -29.9110      -29.9109
  1.418      -29.9110      -29.9109
  1.418      -29.9110      -29.9109
  1.444      -29.9110      -29.9109
  1.471      -29.9110      -29.9109
  1.498      -29.9110      -29.9109
  1.525      -29.9110      -29.9109
  1.551      -29.9110      -29.9109
  1.578      -29.9110      -29.9109
  1.605      -29.9110      -29.9109
  1.632      -29.9110      -29.9109
  1.658      -29.9110      -29.9109
  1.685      -29.9110      -29.9109
  1.712      -29.9110      -29.9109
  1.739      -29.9110      -29.9109
  1.765      -29.9110      -29.9109
  1.792      -29.9110      -29.9109
  1.819      -29.9110      -29.9109
  1.846      -29.9110      -29.9109
  1.873      -29.9110      -29.9109
  1.899      -29.9110      -29.9109
  1.926      -29.9110      -29.9109
  1.926      -29.9110      -29.9109
  1.948      -29.9110      -29.9109
  1.970      -29.9110      -29.9109
  1.992      -29.9110      -29.9109
  2.013      -29.9110      -29.9109
  2.035      -29.9110      -29.9109
  2.057      -29.9110      -29.9109
  2.079      -29.9110      -29.9109
  2.101      -29.9110      -29.9109
  2.123      -29.9110      -29.9109
  2.145      -29.9110      -29.9109
  2.166      -29.9110      -29.9109
  2.188      -29.9110      -29.9109
  2.210      -29.9110      -29.9109
  2.232      -29.9110      -29.9109
  2.254      -29.9110      -29.9109
  2.276      -29.9110      -29.9109
  2.298      -29.9110      -29.9109
  2.319      -29.9110      -29.9109
  2.341      -29.9110      -29.9109
  2.341      -29.9110      -29.9109
  2.357      -29.9110      -29.9109
  2.372      -29.9110      -29.9109
  2.388      -29.9110      -29.9109
  2.403      -29.9110      -29.9109
  2.419      -29.9110      -29.9109
  2.434      -29.9110      -29.9109
  2.449      -29.9110      -29.9109
  2.465      -29.9110      -29.9109
  2.480      -29.9110      -29.9109
  2.496      -29.9110      -29.9109
  2.511      -29.9110      -29.9109
  2.527      -29.9110      -29.9109
  2.542      -29.9110      -29.9109
  2.558      -29.9110      -29.9109
  2.573      -29.9110      -29.9109
  2.588      -29.9110      -29.9109
  2.604      -29.9110      -29.9109
  2.619      -29.9110      -29.9109
  2.635      -29.9110      -29.9109
#Band-index    4
  2.635      -19.1509      -19.1509
  2.619      -19.1509      -19.1509
  2.604      -19.1509      -19.1508
  2.588      -19.1508      -19.1508
  2.573      -19.1508      -19.1508
  2.558      -19.1507      -19.1507
  2.542      -19.1507      -19.1506
  2.527      -19.1506      -19.1505
  2.511      -19.1505      -19.1505
  2.496      -19.1504      -19.1503
  2.480      -19.1502      -19.1502
  2.465      -19.1501      -19.1501
  2.449      -19.1500      -19.1500
  2.434      -19.1498      -19.1498
  2.419      -19.1497      -19.1497
  2.403      -19.1495      -19.1495
  2.388      -19.1494      -19.1493
  2.372      -19.1492      -19.1492
  2.357      -19.1490      -19.1490
  2.341      -19.1489      -19.1488
  2.341      -19.1489      -19.1488
  2.319      -19.1489      -19.1489
  2.298      -19.1489      -19.1489
  2.276      -19.1489      -19.1489
  2.254      -19.1489      -19.1489
  2.232      -19.1489      -19.1489
  2.210      -19.1489      -19.1489
  2.188      -19.1490      -19.1489
  2.166      -19.1490      -19.1490
  2.145      -19.1490      -19.1490
  2.123      -19.1490      -19.1490
  2.101      -19.1491      -19.1490
  2.079      -19.1491      -19.1491
  2.057      -19.1491      -19.1491
  2.035      -19.1491      -19.1491
  2.013      -19.1492      -19.1491
  1.992      -19.1492      -19.1491
  1.970      -19.1492      -19.1492
  1.948      -19.1492      -19.1492
  1.926      -19.1492      -19.1492
  1.926      -19.1492      -19.1492
  1.899      -19.1497      -19.1496
  1.873      -19.1502      -19.1502
  1.846      -19.1507      -19.1507
  1.819      -19.1512      -19.1512
  1.792      -19.1518      -19.1517
  1.765      -19.1523      -19.1523
  1.739      -19.1528      -19.1528
  1.712      -19.1533      -19.1532
  1.685      -19.1537      -19.1537
