#K-Path     Energy-Level
#Band-index    1
  0.000      -21.0944
  0.032      -21.0944
  0.064      -21.0944
  0.096      -21.0944
  0.128      -21.0944
  0.160      -21.0944
  0.192      -21.0944
  0.224      -21.0944
  0.255      -21.0944
  0.287      -21.0944
  0.319      -21.0944
  0.351      -21.0944
  0.383      -21.0944
  0.415      -21.0944
  0.447      -21.0944
  0.479      -21.0944
  0.511      -21.0944
  0.543      -21.0944
  0.575      -21.0944
  0.607      -21.0944
  0.607      -21.0944
  0.618      -21.0944
  0.629      -21.0944
  0.641      -21.0944
  0.652      -21.0944
  0.663      -21.0944
  0.675      -21.0944
  0.686      -21.0944
  0.697      -21.0944
  0.708      -21.0944
  0.720      -21.0944
  0.731      -21.0944
  0.742      -21.0944
  0.754      -21.0944
  0.765      -21.0944
  0.776      -21.0944
  0.787      -21.0944
  0.799      -21.0944
  0.810      -21.0944
  0.821      -21.0944
  0.821      -21.0944
  0.855      -21.0944
  0.889      -21.0944
  0.923      -21.0944
  0.957      -21.0944
  0.991      -21.0944
  1.025      -21.0944
  1.058      -21.0944
  1.092      -21.0944
  1.126      -21.0944
  1.160      -21.0944
  1.194      -21.0944
  1.228      -21.0944
  1.262      -21.0944
  1.295      -21.0944
  1.329      -21.0944
  1.363      -21.0944
  1.397      -21.0944
  1.431      -21.0944
  1.465      -21.0944
  1.465      -21.0944
  1.493      -21.0944
  1.520      -21.0944
  1.548      -21.0944
  1.575      -21.0944
  1.603      -21.0944
  1.631      -21.0944
  1.658      -21.0944
  1.686      -21.0944
  1.714      -21.0944
  1.741      -21.0944
  1.769      -21.0944
  1.797      -21.0944
  1.824      -21.0944
  1.852      -21.0944
  1.880      -21.0944
  1.907      -21.0944
  1.935      -21.0944
  1.963      -21.0944
  1.990      -21.0944
  1.990      -21.0944
  2.013      -21.0944
  2.035      -21.0944
  2.058      -21.0944
  2.081      -21.0944
  2.103      -21.0944
  2.126      -21.0944
  2.148      -21.0944
  2.171      -21.0944
  2.194      -21.0944
  2.216      -21.0944
  2.239      -21.0944
  2.261      -21.0944
  2.284      -21.0944
  2.306      -21.0944
  2.329      -21.0944
  2.352      -21.0944
  2.374      -21.0944
  2.397      -21.0944
  2.419      -21.0944
  2.419      -21.0944
  2.435      -21.0944
  2.451      -21.0944
  2.467      -21.0944
  2.483      -21.0944
  2.499      -21.0944
  2.515      -21.0944
  2.531      -21.0944
  2.547      -21.0944
  2.563      -21.0944
  2.579      -21.0944
  2.595      -21.0944
  2.611      -21.0944
  2.627      -21.0944
  2.643      -21.0944
  2.659      -21.0944
  2.675      -21.0944
  2.691      -21.0944
  2.707      -21.0944
  2.723      -21.0944
#Band-index    2
  2.723      -21.0944
  2.707      -21.0944
  2.691      -21.0944
  2.675      -21.0944
  2.659      -21.0944
  2.643      -21.0944
