Al,Ca,O
-9.168962195729167,-110.02754634875001,-5.790923492039474
0,2.0,3.0,-12.044389043750002,Ca2O3
0,1.0,1.0,-6.632804866249999,CaO
0,1.0,2.0,-6.6282449575000015,CaO2
0,1.0,10.0,-5.923276192499998,CaO10
1.0,0,3.0,-6.350939445000002,AlO3
2.0,0,1.0,-5.160377423333334,Al2O
2.0,0,3.0,-17.132755040000003,Al2O3
38.0,0,21.0,-109.36164133500006,Al38O21
1.0,0,2.0,-8.013698094999999,AlO2
5.0,0,8.0,-42.009497950000004,Al5O8
8.0,0,3.0,-15.286556609999998,Al8O3
11.0,0,18.0,-90.81797868000004,Al11O18
1.0,0,1.0,-3.104231275,AlO
4.0,1.0,0,-0.9779025849999989,Al4Ca
2.0,1.0,0,-0.9897398250000009,Al2Ca
14.0,13.0,0,-7.096196745000001,Al14Ca13
3.0,8.0,0,-1.7493194450000011,Al3Ca8
3.0,2.0,8.0,-37.43730235999999,Al3Ca2O8
6.0,4.0,13.0,-79.27612649625001,Al6Ca4O13
6.0,5.0,14.0,-86.27213701250002,Al6Ca5O14
2.0,3.0,6.0,-37.48968311416667,Al2Ca3O6
2.0,1.0,4.0,-24.248114885833335,Al2CaO4
12.0,1.0,19.0,-110.02754634875001,Al12CaO19
14.0,12.0,33.0,-203.33661492125,Al14Ca12O33
2.0,2.0,5.0,-30.792044416250008,Al2Ca2O5
2.0,3.0,12.0,-30.6826922475,Al2Ca3O12
2.0,1.0,12.0,-14.069697433333326,Al2CaO12
14.0,11.0,32.0,-197.077738975,Al14Ca11O32
3.0,4.0,10.0,-44.968480527500006,Al3Ca4O10
7.0,6.0,16.0,-99.154883085,Al7Ca6O16
sample
-7.93791251814168,-6.684212876245508,-0.4231932130717281
-7.994146244617362,-6.772752302587091,-0.3855283742502407
-7.358308691413168,-6.385950200407693,-0.8074679921781212
-7.119270346742969,-6.240807768598371,-0.9660786536440004
-7.4321588651724495,-6.440527726963905,-0.757953275774563
-7.096316194712973,-6.131020728951005,-0.9863542780654383
-6.874495811816989,-6.0887282765650665,-1.1286772805463723
-6.46868475701593,-5.799865147599545,-1.4001823219452263
-6.749695615872774,-5.898289932804605,-1.2175215276564268
-7.202593336501198,-6.306708988548499,-0.9099851222203754
-7.599583191001477,-6.472939521434854,-0.6505057123840751
-7.6664644424825825,-6.541514278900779,-0.6046557242135914
-6.879276915308268,-6.033995395758155,-1.1285383141732959
-7.749308071352172,-6.559272275760897,-0.5513988008822648
-8.109033941896556,-6.886825236974865,-0.30696388468507746
-8.54596494675067,-7.175974120771117,-0.01578909826162337
-7.801526227382753,-6.667696228754309,-0.512712389021193
-7.7355268972246805,-6.571194153033821,-0.5594752331063166
-8.224576231992058,-6.92680717378626,-0.23188549426626495
-7.492920416079874,-6.374711559362072,-0.7230415682331284
-7.068638707793132,-6.166777226668762,-1.001952875187561
-6.813425754902696,-6.0238346737138135,-1.1706632955896756
-7.056964501133311,-6.117677305957365,-1.011910264694364
-7.760938876126348,-6.620552675090483,-0.5408277452707023
-8.381677421725572,-7.078301192007874,-0.12469032084396081
-7.77662306274025,-6.610287456961012,-0.5314622178371573
-7.930732226890029,-6.740995646609746,-0.42725073576104766
-7.285376074543161,-6.364275327039614,-0.8546714803785501
-6.890423021092196,-5.996719721067121,-1.1234605460303435
-6.201708532531617,-5.616466459838237,-1.5784514472911766
-6.9700317337355795,-6.165091119349997,-1.0643197065564767
-7.035295248716003,-6.195765517525276,-1.0214862024543523
-6.815291535227433,-5.997952488921377,-1.170847128268391
-7.062848855091162,-6.181072476987637,-1.0048572426667586
-6.436309376524011,-5.717979418236956,-1.424939705906575
-6.091113569576548,-5.564319704663453,-1.6510454636404204
-6.170183702775727,-5.55277808300306,-1.601713885917801
-5.3179109400916325,-4.9567919612646865,-2.1713591108624066
-5.428938724089723,-5.077531969130832,-2.0948815626601314
-6.172989367965651,-5.631599996324818,-1.5957933650967038
-6.042091687820723,-5.489137242225088,-1.6859636238250653
-5.601124457012385,-5.123550953797953,-1.983710626884391
-5.8339647998801265,-5.330147891110163,-1.8257800452146487
-5.663560862358328,-5.2257184202781986,-1.9388998726406244
-6.154195706952009,-5.599212909030169,-1.6093676292787227
-5.537470453227019,-5.1161522931999714,-2.024302558780305
-5.910047882007041,-5.315799460644227,-1.7784827528432259
-5.933044111847573,-5.45822414084163,-1.7564627824072367
-5.028234684954955,-4.857241175230961,-2.3595520502136624
-4.719449780888196,-4.607307817289554,-2.567728482147479
-4.272329821530542,-4.262616471479277,-2.8682616852054856
-4.437918749021657,-4.349181269741157,-2.7591231626709978
-3.8188092793269472,-4.000931250501174,-3.168468618227656
-3.6969240546475026,-3.8413560566023746,-3.2538474545461895
-3.921188645434499,-4.107531954323197,-3.098197402590148
-3.179242573381253,-3.5883395618095384,-3.5941208371771283
-3.069583457789525,-3.51239868288863,-3.6673761143361623
-3.0259918730403124,-3.4687181617366627,-3.697206616343663
-2.1774029866823335,-2.9424295470381083,-4.260856892711784
-2.196294709005336,-2.922956735093341,-4.249950163452244
-2.334411892873872,-2.9543226054813903,-4.1610674225674815
-1.6259374808589027,-2.4842061264512063,-4.633267918525893
-1.2071946864725267,-2.3222468595149395,-4.906261223766566
-0.5336446185135643,-1.8500382636704553,-5.356514350679831
-0.8638174129398195,-2.0607343212898837,-5.13689489853591
-0.3754684078459051,-1.6918996260378096,-5.464738201503229
-0.6742598263437475,-1.8350098387821963,-5.268495715465413
-0.03979846628799712,-1.5346264554819684,-5.6850178051480045
-0.5723069871889448,-1.8940765504360093,-5.329778208002456
-0.7193451649033451,-1.9642496742081152,-5.233218668194829
-0.5144194506780836,-1.8530499000270737,-5.368498054767681
-0.7740061131934693,-1.9085940292048638,-5.201625208485448
-0.6147605569491442,-1.7950274862237683,-5.308178535744027
-0.389049537084357,-1.7655616028226482,-5.452283700048162
-1.0503451655459088,-2.1509296976304277,-5.014340771819404
-0.8682830372574756,-1.993176501204032,-5.137630178971382
-1.3784009218497584,-2.3652930947578574,-4.795865378515529
-0.956224819174233,-2.040559658374472,-5.079594150541302
-0.35355847313934574,-1.7164185247027257,-5.477285586651323
-0.13307096900608872,-1.4937821702903962,-5.6282585552835025
-0.25839968661559676,-1.623881197223833,-5.542256258533633
-1.1469530279632199,-2.284337245345754,-4.946303829886611
-0.5621692033672002,-1.8111918251056012,-5.340543372802
-0.1467464322002286,-1.502457227330547,-5.619164838685091
-0.9465968516198835,-2.1433386609217293,-5.080265550967877
-0.48283538806822807,-1.7563509757918983,-5.39353530084944
-0.44242562237673205,-1.7384319664507901,-5.420000363883076
-1.0703055627853384,-2.180232796447907,-5.000191936783055
-1.533628192393259,-2.4072900882590282,-4.6956167343037825
-1.2061135332549,-2.2609956164533824,-4.910167807012517
-1.6354772924194196,-2.5874328073586637,-4.621809791176753
-0.8103908280206872,-1.9457680258011654,-5.176688862457926
-1.2473020209496986,-2.3255567391462746,-4.880756071484598
-0.7529366428693703,-2.0004538342204983,-5.210097515794582
-1.2354631139252858,-2.262013010417069,-4.8915776826962905
-0.7925530838228526,-1.9861617531187017,-5.18582882051353
-0.40364362141321336,-1.7887110418866277,-5.4418479921002545
-0.7433997794514565,-1.9714384212339795,-5.217647924952555
-0.888533698500084,-2.11129488523565,-5.118623530605966
-0.4471132805596548,-1.7271681128962637,-5.4176325720598895
-1.2710941819399466,-2.2861602267798378,-4.867802944141622
-0.5029424786818523,-1.8079396984678635,-5.378120889794733
-0.6086932640399109,-1.7921720400832035,-5.312160796851994
-0.9493177915693223,-2.0987588512166537,-5.08089336835271
-1.1789582818639566,-2.2484989658573116,-4.927976210553958
-1.3534683386731943,-2.390138240273646,-4.810304633915686
-2.0371942581625495,-2.7444846319589287,-4.359827927307394
-2.1055640181942583,-2.890564855423296,-4.308958593420822
-2.4000251386707423,-3.1020513087537167,-4.111852282944599
-1.5669439572339083,-2.512867158646492,-4.669018510699822
-2.2189592474239306,-2.866797173656499,-4.2385914845266495
-1.360078258565278,-2.4243763851816045,-4.804327940041319
-0.5238702515144207,-1.738462039989266,-5.368560067925668
-1.000904916079219,-2.089956945981828,-5.04877528472724
-0.9105258664686199,-2.105954912361804,-5.105014791513936
-0.781643696258725,-1.9828114943382074,-5.192895289437216
-0.015116704951174358,-1.3986255685043292,-5.70776422741219
-0.5651206273006686,-1.7550179564984139,-5.341635834981241
-0.1976993793124779,-1.5863188278179088,-5.582570261535914
-0.02395009740088195,-1.4517353089302356,-5.69938999321101
-0.31117292806670244,-1.664496603182942,-5.5067881373035075
-0.7617227866701213,-1.894898329569665,-5.210103925217836
-0.9114679919810876,-2.1269595831031425,-5.103314255888096
-1.3129040833069898,-2.3102042229401305,-4.840131217164527
-1.6666477272083273,-2.5646669021714836,-4.603321406319926
-1.6379753049519206,-2.5875494473579783,-4.620225960103631
-0.8306493604990173,-1.9319977636277856,-5.164618750480738
