Cl,Cs,Hf
-3.6315551875703442,-10.894665562711033,-21.789331125422066
4.0,0,1.0,-11.543230918040003,Cl4Hf
1.0,1.0,0,-4.509900247931035,ClCs
6.0,2.0,1.0,-21.789331125422066,Cl6Cs2Hf
sample
-2.4340401379022607,-2.1728193601726957,-1.8604798494976669
-2.1008541216978767,-2.63981367461592,-3.9045790460029655
-2.095631600427588,-2.5557773036877798,-4.103986915480977
-2.1184108254029055,-2.7485062943044674,-3.581853584395697
-1.9610141554044687,-3.0472916210351846,-3.9286629509248847
-1.7030602801555295,-3.272587034320766,-5.025795375847357
-1.4083320353740787,-3.5595253749296027,-6.220288163318388
-1.1664879317417618,-3.5285340671777528,-7.733335400615988
-1.1885153462054352,-3.417448272087349,-7.8233425040147555
-1.357725282505007,-3.32521135979631,-6.992556710799405
-1.3308574016196753,-3.556750436985007,-6.690685841734
-1.4333243303206986,-3.3106881614994754,-6.568008820498923
-1.7614725722735272,-3.0465889683335736,-5.127317755113755
-1.5328556466284848,-3.177168627077427,-6.237859991496301
-1.371289790817165,-3.1444618454874456,-7.272668689544184
-1.117475531866644,-3.608632976809584,-7.867211980603033
-0.9227299401631786,-3.845212169955712,-8.56252714453157
-1.095587775870568,-3.5663443337273395,-8.083115802743977
-1.3676477744297455,-3.607524133710259,-6.368396211423074
-1.4246375100619924,-3.295194027492811,-6.65111801006449
-1.6019633927546992,-3.279058162599906,-5.61943444369406
-1.5582894571250974,-2.9717340397982293,-6.496126303075023
-1.8063600981661208,-3.0449987530939624,-4.861173030237416
-1.7412892837912688,-3.1110979682869147,-5.119399486100624
-1.631909949662022,-3.435616470009434,-5.126638487431066
-1.3823102086932946,-3.6081272728615064,-6.279215327539286
-1.042830814509915,-3.6162289953431848,-8.299888247676206
-0.8481999105043013,-4.0754075162831676,-8.549316629829923
-1.0004302315241407,-3.5783684938107476,-8.630012748655725
-0.6681303074444856,-3.999441388174548,-9.781666504406056
-0.3135009709790178,-4.776139519485613,-10.356046260576733
-0.27283908540231583,-4.314099379424335,-11.524097854159502
-0.25901505889545584,-4.833005051960907,-10.569230668127519
-0.23615095713987844,-4.8862632702454105,-10.599898842091974
-0.007092354973283723,-4.695533334233362,-12.355710327115641
-0.24010507429018751,-4.515216921515992,-11.318266836648958
-0.250727622785487,-4.762767231175059,-10.759430926359027
-0.08314362563609083,-4.768369971156998,-11.753729429291527
-0.41731656995139854,-4.2944254876190575,-10.69658073047556
-0.20026897297895152,-4.667913103606697,-11.251891080334962
-0.3491066437296676,-4.311333098709595,-11.072025065624873
-0.24995431585915473,-4.280826278471327,-11.727952673324483
-0.4254335770482746,-4.5855723651931015,-10.065584932746216
-0.34143921707837194,-4.4127298050635835,-10.915236212824666
-0.2788367171374101,-4.712802168419437,-10.690706485758732
-0.09783516410033896,-4.491653340277672,-12.21901346026469
-0.25458223811290925,-4.838614225317837,-10.584609246108938
-0.42771094683026917,-4.367656301714444,-10.487752841011563
-0.14374514702261956,-4.896015240984834,-11.13482976131668
-0.03844919924611701,-4.927184662753062,-11.704266604439242
-0.054882175059026476,-5.045700222275275,-11.36863763051736
-0.19246817394196677,-4.771379099145861,-11.091763883478544
-0.026533784993198663,-4.916913028131268,-11.79630235920034
-0.03092169004801399,-5.090483794444141,-11.4228333962457
-0.08226102378312337,-4.910797078825541,-11.474170825072243
-0.4010492776642725,-4.4007575205864775,-10.581520418263477
