Cl,Cs,Sn
-2.8835244234770117,-8.650573270431035,-17.30114654086207
0,1.0,1.0,-0.6152594791810344,CsSn
0,4.0,23.0,-4.49514315672414,Cs4Sn23
0,1.0,3.0,-0.6075889179310359,CsSn3
1.0,0,1.0,-1.6216883200000005,ClSn
2.0,0,1.0,-4.2067828575,Cl2Sn
4.0,0,1.0,-7.135993455000001,Cl4Sn
1.0,1.0,0,-4.509900247931035,ClCs
3.0,1.0,1.0,-9.057513632931032,Cl3CsSn
5.0,1.0,2.0,-13.325014602931038,Cl5CsSn2
6.0,2.0,1.0,-17.30114654086207,Cl6Cs2Sn
sample
-0.6585398397685943,-4.315152508045786,-4.611570113943592
-0.566104112513727,-4.20577851546977,-5.492964834840167
-0.8011450978593763,-4.162490889281801,-4.16929417514221
-1.0095675639861226,-3.531786383648289,-4.180168389648758
-0.8302191215751549,-3.7980202967127994,-4.723791217985543
-0.566054947015028,-4.278933747217477,-5.346949364336949
-0.8381838377362231,-3.8262591197665277,-4.619525274911678
-0.6675693856511531,-4.297917937710088,-4.699894351534976
-0.5745555244357266,-4.014668989308138,-5.824475415631435
-0.513149475919211,-4.134196837982838,-5.95385600938113
-0.554243660612721,-4.442765952425987,-5.0901526723337716
-0.47855836779098415,-4.37894209657757,-5.671912140961025
-0.30155145315756826,-4.457075502894843,-6.577686816126976
-0.37566389079225626,-4.552099911958101,-5.942963372192331
-0.35185630156331055,-4.537659801268415,-6.114689128945378
-0.11067788131408487,-4.628255952320608,-7.380567348336346
-0.31275875676342957,-4.237660836625208,-6.949272327031077
-0.14553595093893545,-4.52544845032279,-7.3770339345828795
-0.3651269992841258,-4.477917264090751,-6.154550016975814
-0.2176753109528663,-4.346324751407485,-7.302445172329903
-0.47584843783857894,-4.251432432049112,-5.943191049732372
-0.21942316267445908,-4.494495314783087,-6.995616935249142
-0.4893169161267163,-4.517346899665086,-5.330551244771601
-0.4517689769510929,-4.1028234031612545,-6.384885872833004
-0.48640514078000185,-4.552524960790297,-5.277665774601466
-0.7102385864331093,-4.069391862131709,-4.900931297999997
-0.4943417862721169,-4.033074976439587,-6.268945870350194
-0.59811837283006,-4.432950968700263,-4.846534366481184
-0.43966699194376635,-4.330462474657,-6.002219639885474
-0.4592581565082451,-4.365068550910192,-5.815460499992216
-0.3301434178003516,-4.611335481845885,-6.097615070368191
-0.5432892132053979,-4.335599465974208,-5.370212329681268
-0.49834263884388036,-4.409503322465697,-5.492084062867394
-0.2651030292372464,-4.799420505677113,-6.111687354084366
-0.20787165472251942,-4.861853337672647,-6.33020993718166
-0.4225585094982478,-4.379675128762702,-6.006445226347181
-0.44851807630999296,-4.224177165867407,-6.161683751267297
-0.4230378422497483,-4.3727061072644275,-6.017507272834726
-0.39063912859529315,-4.351866646990171,-6.25357847530997
-0.6597810267352345,-4.095836239584546,-5.15078790128157
-0.5757559692073606,-4.165455585695535,-5.5156995542268366
-0.28873495713913905,-4.390291603994993,-6.7881535900372505
-0.27569015706484157,-4.248108896419186,-7.150787805634648
-0.5009464684659072,-4.384813666697319,-5.52584039667199
-0.2919724050996212,-4.490818193038968,-6.567675724186408
-0.44927069276756865,-4.2610881038623525,-6.083346176531953
-0.722511379546141,-4.167669273194741,-4.630739717195743
-0.7352101567594391,-3.9324710394057862,-5.024943521493864
-0.4856809032422654,-4.567232127972357,-5.252596865463766
-0.7187866219999661,-3.8982002733308483,-5.192026262200577
-0.6679687564878882,-4.053848893264152,-5.185636215406438
-0.7871810885381976,-4.024514112986766,-4.529031783659355
-0.8140239241571577,-3.762594142364452,-4.891814711190221
-0.9142146491859258,-3.94122811423738,-3.9334024172717563
-0.7377746221146834,-3.976197166026408,-4.922104476121153
-0.5844538084587844,-4.332052426027491,-5.130318838054382
-0.3847596957449127,-4.596553112134256,-5.799482142124082
-0.14261070567151904,-4.775381285572274,-6.89471973568841
-0.032617448012462566,-4.505019335720463,-8.095403181346372
-0.06167475225336101,-4.981628212967825,-6.9678416014062545
-0.18724933106785036,-4.478901541819788,-7.219847470815393
-0.14764565923729114,-4.561247598196262,-7.292777389045799
-0.07044803244332841,-4.767994684704359,-7.342468976793382
-0.3438457948815992,-4.595655705858351,-6.046760359855773
