Cl,Cs,Sn
-2.8835244234770117,-8.650573270431035,-17.30114654086207
0,1.0,1.0,-0.6152594791810344,CsSn
0,4.0,23.0,-4.49514315672414,Cs4Sn23
0,1.0,3.0,-0.6075889179310359,CsSn3
1.0,0,1.0,-1.6216883200000005,ClSn
2.0,0,1.0,-4.2067828575,Cl2Sn
4.0,0,1.0,-7.135993455000001,Cl4Sn
1.0,1.0,0,-4.509900247931035,ClCs
3.0,1.0,1.0,-9.057513632931032,Cl3CsSn
5.0,1.0,2.0,-13.325014602931038,Cl5CsSn2
6.0,2.0,1.0,-17.30114654086207,Cl6Cs2Sn
sample
-1.0584488972213102,-3.472470611290025,-3.2948844974969527
-0.8522844638278831,-3.862392302129527,-4.462655153635717
-0.7844034760897418,-3.9251459941966598,-4.744433695930299
-1.0126138894546917,-3.579395907091756,-4.066671389950409
-1.1008943026263445,-3.6414322171675853,-3.4129162907688326
-1.1209760688776478,-3.608589198216527,-3.35811173116313
-1.2735998162781281,-3.7939817639955082,-2.0715841152022842
-1.205282836627256,-3.531963123578424,-3.0055232739416855
-1.307034014359475,-3.471654011778777,-2.515634431147666
-1.3473699062379914,-3.724190243651906,-1.768546616130311
-1.146883762292846,-3.9018625667679103,-2.616118833569174
-1.2571228965641326,-3.693119620614804,-2.372169920247668
-1.4520382781442356,-3.0988488965392595,-2.3912190789181387
-1.453316690178608,-3.461501516992921,-1.6582433658045792
-1.220362020239193,-3.731739369464632,-2.5154956804976494
-1.2260788316156557,-3.4006868001965276,-3.143299950775082
-0.9523672823295308,-3.7966657824575103,-3.993611281969866
-1.1451169366201548,-3.802871382784386,-2.824702155572368
-1.1006972527606673,-3.7456473091119142,-3.2056684060742375
-1.0843754338905316,-3.433870621422075,-3.9271526946747306
-0.8198193887120437,-3.830095986423918,-4.722038235741972
-1.0786972214803023,-3.9991247803022922,-2.8307136513756737
-1.058414134082044,-3.501462997332026,-3.9477357417057544
-0.9546362008060154,-4.000118044015501,-3.5730932479949757
-1.1031351896093775,-3.863298247577698,-2.9557389080504106
-0.9299235451201235,-3.847827762338105,-4.0259497454651205
-0.829262940350868,-3.9891657219621384,-4.347237454832586
-0.8043336594919069,-3.748507031004964,-4.978130521900701
-1.0029514380992075,-3.770846821679528,-3.7417442689077682
-1.066093226331247,-3.4524408180779025,-3.999705546718784
-1.1063365097590887,-3.90875444560839,-2.8456185910907594
-1.1442260054883273,-3.8300462169562466,-2.7756980740196138
-1.3370760766723153,-3.4750926177292727,-2.328504845369633
-1.1692479677411227,-3.652755408585505,-2.9801479172443255
-1.4397993917819114,-3.545066561221832,-1.572217067726938
-1.3656073986555841,-3.7122490603967853,-1.6830040281349938
-1.506993914680278,-3.5211097560275904,-1.2169635407252208
-1.527773335347942,-3.476075037878422,-1.182356453017574
-1.271557980610656,-3.555319372456742,-2.561159912284652
-1.289962028152945,-3.617441768252854,-2.3264908354386926
-1.5039177085951971,-3.160828151678186,-1.955983985934515
-1.5642944300144692,-3.1762724205732558,-1.562835119628744
-1.4242991452705993,-3.5343168007272507,-1.686718067783974
-1.2990976060731023,-3.4067376821409514,-2.693085540141554
-1.1870003396276598,-3.7151508415498986,-2.748842819996315
-1.4572724818727314,-3.517839910283256,-1.5218318290591704
-1.7148947926591047,-3.030684864333174,-0.950408056241095
-1.5326799129430881,-3.459292196633533,-1.1864826699364757
-1.5272222442670078,-3.388849338747286,-1.3601143977654513
-1.2598584438584088,-3.3690238707309983,-3.003948136249621
-1.360781263094964,-3.6132059221324004,-1.9100471180274847
-1.5344927256321612,-3.3885284319460807,-1.3171333231769404
-1.4142195991775746,-3.274328223961665,-2.2671724978732932
-1.4705284317358083,-3.105757378137337,-2.2664611941725457
-1.5366056995509572,-3.0262395965939106,-2.029033150368505
-1.5498344109984719,-3.4205859409656414,-1.1609681929399558
-1.338417411799565,-3.2903286352673713,-2.6899847995299377
-1.1487207208422738,-3.6169862209903942,-3.174849773827639
-1.3765057846413735,-3.671428691446165,-1.6992544501214997
-1.3034854866938927,-3.5275413410910366,-2.4251509385166403
-1.5513525440572684,-3.000039152753343,-1.9929529710117748
-1.3835019902975265,-3.3725112400970105,-2.2551121188828898
-1.3012242044783642,-3.221681738178717,-3.0504378376344503
