Cl,Cs,Zr
-3.573138415903679,-10.719415247711037,-21.438830495422074
3.0,0,1.0,-8.756854634780002,Cl3Zr
5.0,0,2.0,-14.462381714216667,Cl5Zr2
2.0,0,1.0,-6.12250228652,Cl2Zr
1.0,0,3.0,0.23761486173999913,ClZr3
1.0,0,1.0,-3.160787153260001,ClZr
4.0,0,1.0,-11.26130661804,Cl4Zr
1.0,1.0,0,-4.509900247931035,ClCs
6.0,2.0,1.0,-21.438830495422074,Cl6Cs2Zr
sample
-3.0310871758635165,-1.5120523625434104,-0.1499178773962375
-2.814478800466072,-1.9405738521267002,-0.6708099883722443
-2.4917356125729655,-2.2662759082247272,-1.9558650035348255
-2.3918628551543972,-2.2782063907933456,-2.531240582909002
-2.1811195407843926,-2.4460628051858313,-3.459987640344056
-2.409571242380576,-2.390999272913758,-2.199404495311101
-2.4312127068720115,-2.0830435600096595,-2.6854671341706866
-2.6790050147217435,-1.9409939425996323,-1.4828125218923494
-2.6324087860360295,-2.0338489643411384,-1.5766798505236204
-2.721585900912586,-1.8781545018483878,-1.353006086249785
-2.3808601554933806,-2.5144941632049753,-2.1246812360518414
-2.3073672430584553,-2.2507928758361593,-3.093041285399024
-2.5476632253661453,-2.257644463440288,-1.6375622163446262
-2.8981336004805827,-1.8548070048369965,-0.3404148828645841
-2.8622724705886466,-1.8688509420757236,-0.5274937877387483
-2.517275146126536,-2.455197659088518,-1.4247843004858234
-2.6351297657793546,-2.146448403197199,-1.3351550943515496
-2.7472322843529042,-2.145643119911021,-0.6641505494826088
-2.725863645066115,-1.8067872906486375,-1.470074043728109
-2.6596667448181557,-2.1080250349091347,-1.2647799566948716
-2.386858887907567,-2.690601345778722,-1.7364744764192295
-2.7017027738065815,-1.937150845146185,-1.3543121622902172
-2.6664557682758696,-2.0861057965044383,-1.2678842927579812
-2.528219507768253,-2.5479943671419316,-1.1735247145286927
-2.691160669445196,-2.0784102538353224,-1.1350459710802538
-2.6711578057745347,-2.293353148252182,-0.8251773642705031
-2.607049587320302,-2.1398094187951533,-1.5169141339099563
-2.853320356382059,-1.7418824214020572,-0.8351435143256074
-2.62130382883612,-2.2375273250713676,-1.2359528722626203
-2.3000213987690694,-2.635056097149562,-2.3685899085085347
-2.2939648777698425,-2.317286679497583,-3.040467869807855
-1.9404037309673916,-2.6954686437066795,-4.405470822204366
-1.952861489273553,-2.9892253820986694,-3.7432107955834173
-1.7068751230514947,-3.3118374111694644,-4.573904934774177
-1.3887320569281654,-3.42262670701419,-6.261184739824701
-1.576683282525211,-3.006786713321761,-5.965157373627288
-1.4935332222648947,-3.0991756509371906,-6.279279859958327
-1.6184957511804112,-2.901277892282055,-5.925300203775499
-1.785047485218661,-2.9163025469082062,-4.895940490293696
-1.4912489761678434,-3.5239586309999416,-5.443419376415131
-1.4653622849621764,-3.353360839438439,-5.939935106772138
-1.550133042411881,-3.455315259235862,-5.227401722479063
-1.4901616198986232,-3.321962276884233,-5.853936222261871
-1.1833553944950308,-3.742657176411166,-6.853383775629558
-1.4238312802334478,-3.343510169432717,-6.208822475155953
-1.7544806333009335,-3.073977146624932,-4.76399240236661
-1.88845839525009,-3.1509910689930933,-3.8060979859353496
-2.1815379251499967,-2.4861223486371973,-3.3773582472477
-2.4853385582500116,-2.4501507426215996,-1.6264976606788044
-2.1552715356995384,-2.538283725512129,-3.4306338302005863
-1.946969353250078,-2.7583607142838296,-4.2402929473539475
-1.9677513791309793,-2.820532190457369,-3.9912578397214618
-1.8916323883846993,-2.6430081757767185,-4.803019813560441
-2.082049420947929,-2.642669238083904,-3.661195493566694
-1.7978565261283452,-3.202610432034388,-4.2464704745832265
-1.7091973780492908,-3.198134380421996,-4.787377466282336
-1.557550269351921,-3.106247772655851,-5.881033333998846
-1.871191813800722,-3.1126075698362907,-3.986464472945163
-2.083653188744011,-2.5113148170735142,-3.9142817288109812
-2.322676088775393,-2.5382397868665016,-2.426294389036715
-2.601894875880413,-2.2147294807524007,-1.3980022786347956
-2.4391072791526565,-2.5612484308130825,-1.681689958879969
-2.3532680747049,-2.2234916371508575,-2.872238772890959
-2.4428584614474707,-2.2789906751997853,-2.2236983763376807
-2.152872902103505,-2.587771105750435,-3.346050871300172
-2.2004619782637076,-2.67776514191078,-2.8805283420182692
-1.8701232038942965,-2.8088678600652304,-4.600355551925834
-2.1994551213752467,-2.7978959668146426,-2.64630783354131
-2.1431565981958043,-2.403597722669457,-3.772695460908336
-1.855173035363961,-3.0364435137735506,-4.234905255691207
-2.209837195919962,-2.6620739694082953,-2.8556593810857143
-2.4522669445167025,-2.1626741332561874,-2.3998805618094865
-2.479388230432265,-2.3416154565420384,-1.8792701997444092
-2.521544689892028,-2.161872971410765,-1.9858164132483782
-2.3386457729823475,-2.654785279269773,-2.0973852989884425
-1.9886532666176628,-2.6561796354790475,-4.194551624758004
-2.1642611916715495,-2.511019166776906,-3.431225011838966
-2.444309639682389,-2.5630839217833774,-1.6468048137609879
-2.2403220943762405,-2.8000236968644012,-2.3968505354358283
-2.0252302829705457,-2.78376104050338,-3.719926716592042
