Bi,Cl,Cs
-13.128776716896553,-2.917505937088123,-8.752517811264369
0,1.0,1.0,-4.509900247931035,ClCs
1.0,0,3.0,-1.1350223137931028,BiCs3
2.0,0,3.0,-1.625870718793104,Bi2Cs3
2.0,0,1.0,-0.9238969729310362,Bi2Cs
1.0,0,1.0,-0.7268423416810341,BiCs
1.0,3.0,0,-5.567645215000001,BiCl3
6.0,7.0,0,-12.970060906250005,Bi6Cl7
1.0,6.0,3.0,-20.150432723793102,BiCl6Cs3
2.0,9.0,3.0,-26.257553433793106,Bi2Cl9Cs3
sample
-1.9121257154006102,-1.2457952218937092,-3.6290509211633335
-1.3623769122596843,-1.5130155786694424,-3.3052198004162525
-2.3442961381372998,-1.2490526827459472,-3.442495670934994
-2.7378908520166765,-0.9792513830693137,-3.98950309404531
-2.9850348356231526,-1.0361479181168356,-3.654050833165093
-2.7651930316795297,-1.065439522399893,-3.7127372229450035
-3.4153153786246677,-0.8561424529893508,-3.9072135332132047
-3.4398012127940163,-0.7230568574141298,-4.290146430492634
-2.763508378000365,-0.9826755345998193,-3.9621522887980007
-2.2152761696305427,-1.1209643272134127,-3.912774049870435
-2.52845311247653,-1.0487690804535426,-3.9205751615860547
-3.035811135450798,-0.932024005610643,-3.9325717041319077
-2.4680896161788177,-1.1655538274847426,-3.610463251357596
-3.3036858748161375,-0.9231923799578273,-3.780483421513461
-2.5111343453584256,-1.1663638547756696,-3.5793366833650757
-2.7539465359142596,-0.9623515278940719,-4.02949887030598
-3.4895046203208473,-0.7427332700866092,-4.19798158745731
-3.785437442396157,-0.7714066954477465,-3.9146727633236913
-4.096660808079271,-0.6281149569088705,-4.137065735151577
-4.7363653006897595,-0.4290309031790433,-4.3078482346007325
-3.7472678088570475,-0.6669795886233469,-4.253400506156296
-3.306392784252796,-0.9198756697410747,-3.7886289458726146
-2.219835430708732,-1.1883754262414041,-3.7075012454010015
-3.0472847397163387,-0.9308064712821522,-3.9285752376070193
-3.172899651073302,-0.8163971759363587,-4.188059849406424
-4.0018930991641355,-0.5284562992129561,-4.49922018084941
-3.858099150943527,-0.586628465770947,-4.42056631332251
