Bi,Cl,Cs
-20.150432723793102,-3.358405453965517,-6.716810907931034
0,1.0,1.0,-4.509900247931035,ClCs
1.0,0,3.0,-1.1350223137931028,BiCs3
2.0,0,3.0,-1.625870718793104,Bi2Cs3
2.0,0,1.0,-0.9238969729310362,Bi2Cs
1.0,0,1.0,-0.7268423416810341,BiCs
1.0,3.0,0,-5.567645215000001,BiCl3
6.0,7.0,0,-12.970060906250005,Bi6Cl7
1.0,6.0,3.0,-20.150432723793102,BiCl6Cs3
2.0,9.0,3.0,-26.257553433793106,Bi2Cl9Cs3
sample
-2.3386332752254217,-1.3648188163682324,-3.192737948802175
-1.9154777694296021,-1.4844267110105536,-3.10946489610006
-3.0400149914334453,-1.1715225087855814,-3.3604275598820568
-3.062965256962559,-1.0370153431673221,-3.621791802608871
-3.794656901344881,-0.8043180522325406,-3.8432891696843257
-4.149895108619562,-0.6643521921965474,-4.004808153998085
-4.71059325736569,-0.6300150935194112,-3.886582968436982
-4.269427439474307,-0.6608649863690071,-3.971938455368251
-4.895242978702733,-0.4043663818246903,-4.276330484714076
-5.7796565992696145,-0.19630711474521073,-4.397644478684074
-5.0827301573194195,-0.3940051340478941,-4.234557254062106
-6.318769965573168,-0.09404133285428425,-4.42247158703141
-5.183888895241181,-0.3407983265695126,-4.307251289711615
-5.041584375036637,-0.40128025929662514,-4.233722264325571
-5.9342093711675625,-0.18051232897466749,-4.377716459592512
-5.658061518720377,-0.20592475676287478,-4.418940888165158
-5.584181585163455,-0.34509138233626757,-4.165234281537347
-5.370534316084216,-0.2743751077976647,-4.3778825869743
-6.046119488275916,-0.12408876705652233,-4.453260211059351
-5.191255781432148,-0.4310772866710247,-4.124237740778269
-4.258746438338736,-0.6874466894886119,-3.922335382840898
-3.4495090442505063,-1.0061571284070518,-3.5546603030334283
-4.223914349061204,-0.7560960545536238,-3.7966473491367183
-4.042841882472947,-0.7038326786323222,-3.961531589842074
-3.6147861443342597,-0.8889610140690856,-3.7339601650147762
-4.585606564693411,-0.5953805671208227,-3.997514252124918
-5.258262062066639,-0.3567017400842245,-4.250653407073705
-5.714468454416953,-0.1359002011155484,-4.540187687560953
-6.205255683785732,-0.031027218654858087,-4.586337909359408
-6.005163567216948,-0.1658819642562152,-4.383325790346287
-6.207114785597168,-0.009661392448890317,-4.628449861167531
-6.065071323156682,-0.13306005974433982,-4.429000347390127
-5.392445968838221,-0.2854256805120917,-4.34847755729411
-5.451758570988897,-0.23919093461555643,-4.421176181703623
-4.777766483400341,-0.4926413976464543,-4.1389392848380115
-5.4918833149946575,-0.2640388818445063,-4.3581053725771355
-5.823884157826036,-0.2115909457995531,-4.352334297056583
-5.74911411761014,-0.14781516339479062,-4.5048092086047395
-6.0446609715386685,-0.14153155523945052,-4.418860806939243
-5.965325304944055,-0.10249052997639893,-4.523388079663552
-6.124483591059044,-0.14846293412741524,-4.378390509323189
-6.024148248822831,-0.0437573788056718,-4.621246734045414
