#Square of TDM (Debye^2):  X           Y           Z        Total
 0.000        0.000        0.000        0.000        0.000
 0.031        0.000        0.000        0.000        0.000
 0.061        0.000        0.000        0.000        0.000
 0.092        0.000        0.000        0.000        0.000
 0.122        0.000        0.000        0.000        0.000
 0.153        0.000        0.000        0.000        0.000
 0.184        0.000        0.000        0.000        0.000
 0.214        0.000        0.000        0.000        0.000
 0.245        0.000        0.000        0.000        0.000
 0.276        0.000        0.000        0.000        0.000
 0.306        0.000        0.000        0.000        0.000
 0.337        0.000        0.000        0.000        0.000
 0.367        0.000        0.000        0.000        0.000
 0.398        0.000        0.000        0.000        0.000
 0.429        0.000        0.000        0.000        0.000
 0.459        0.000        0.000        0.000        0.000
 0.490        0.000        0.000        0.000        0.000
 0.521        0.000        0.000        0.000        0.000
 0.551        0.000        0.000        0.000        0.000
 0.582        0.000        0.000        0.000        0.000
 0.582        0.000        0.000        0.000        0.000
 0.593        0.002        0.000        0.002        0.003
 0.603        0.006        0.000        0.006        0.012
 0.614        0.014        0.000        0.014        0.028
 0.625        0.024        0.000        0.024        0.049
 0.636        0.038        0.000        0.038        0.076
 0.647        0.054        0.000        0.054        0.108
 0.658        0.073        0.000        0.073        0.146
 0.668        0.094        0.000        0.094        0.188
 0.679        0.117        0.000        0.117        0.234
 0.690        0.142        0.000        0.142        0.285
 0.701        0.169        0.000        0.169        0.338
 0.712        0.197        0.000        0.197        0.395
 0.723        0.227        0.000        0.227        0.454
 0.733        0.257        0.000        0.257        0.514
 0.744        0.288        0.000        0.288        0.576
 0.755        0.319        0.000        0.319        0.638
 0.766        0.350        0.000        0.350        0.700
 0.777        0.381        0.000        0.381        0.762
 0.787        0.411        0.000        0.411        0.822
 0.787        0.411        0.411        0.000        0.822
 0.820        0.495        0.495        0.000        0.990
 0.852        0.562        0.562        0.000        1.124
 0.885        0.603        0.603        0.000        1.206
 0.917        0.611        0.611        0.000        1.222
 0.950        0.000        0.000        0.000        0.000
 0.982        0.351        0.351        0.000        0.701
 1.015        0.331        0.331        0.000        0.661
 1.047        0.303        0.303        0.000        0.606
 1.080        0.269        0.269        0.000        0.539
 1.112        0.232        0.232        0.000        0.464
 1.145        0.193        0.193        0.000        0.386
 1.177        0.154        0.154        0.000        0.308
 1.210        0.117        0.117        0.000        0.233
 1.242        0.083        0.083        0.000        0.166
 1.275        0.054        0.054        0.000        0.108
 1.307        0.031        0.031        0.000        0.062
 1.340        0.014        0.014        0.000        0.028
 1.372        0.003        0.003        0.000        0.007
 1.405        0.000        0.000        0.000        0.000
 1.405        0.000        0.000        0.000        0.000
 1.431        0.000        0.000        0.000        0.000
 1.458        0.000        0.000        0.000        0.000
 1.484        0.000        0.000        0.000        0.000
 1.511        0.000        0.000        0.000        0.000
 1.537        0.000        0.000        0.000        0.000
 1.564        0.000        0.000        0.000        0.000
 1.590        0.000        0.000        0.000        0.000
 1.617        0.000        0.000        0.000        0.000
 1.643        0.000        0.000        0.000        0.000
 1.670        0.000        0.000        0.000        0.000
 1.696        0.000        0.000        0.000        0.000
 1.723        0.000        0.000        0.000        0.000
 1.749        0.000        0.000        0.000        0.000
 1.776        0.000        0.000        0.000        0.000
 1.802        0.000        0.000        0.000        0.000
 1.829        0.000        0.000        0.000        0.000
 1.855        0.000        0.000        0.000        0.000
 1.882        0.000        0.000        0.000        0.000
 1.908        0.000        0.000        0.000        0.000
 1.908        0.000        0.000        0.000        0.000
 1.930        0.013        0.003        0.003        0.020
 1.952        0.053        0.012        0.012        0.078
 1.973        0.119        0.026        0.026        0.171
 1.995        0.209        0.041        0.041        0.291
 2.017        0.314        0.056        0.056        0.425
 2.038        0.423        0.066        0.066        0.556
 2.060        0.525        0.072        0.072        0.669
 2.082        0.612        0.072        0.072        0.757
 2.103        0.681        0.068        0.068        0.817
 2.125        0.731        0.061        0.061        0.854
 2.147        0.766        0.053        0.053        0.871
 2.168        0.789        0.043        0.043        0.874
 2.190        0.803        0.033        0.033        0.869
 2.212        0.811        0.024        0.024        0.859
 2.233        0.816        0.016        0.016        0.847
 2.255        0.817        0.009        0.009        0.835
 2.277        0.818        0.004        0.004        0.826
 2.298        0.818        0.001        0.001        0.820
 2.320        0.818        0.000        0.000        0.818
 2.320        0.818        0.000        0.000        0.818
 2.335        0.803        0.000        0.000        0.803
 2.350        0.791        0.000        0.000        0.791
 2.366        0.769        0.000        0.000        0.769
 2.381        0.737        0.000        0.000        0.737
 2.396        0.696        0.000        0.000        0.696
 2.412        0.648        0.000        0.000        0.648
 2.427        0.592        0.000        0.000        0.592
 2.442        0.531        0.000        0.000        0.531
 2.458        0.466        0.000        0.000        0.466
 2.473        0.398        0.000        0.000        0.398
 2.488        0.330        0.000        0.000        0.330
 2.504        0.264        0.000        0.000        0.264
 2.519        0.201        0.000        0.000        0.201
 2.534        0.144        0.000        0.000        0.144
 2.549        0.095        0.000        0.000        0.095
 2.565        0.054        0.000        0.000        0.054
 2.580        0.025        0.000        0.000        0.025
 2.595        0.006        0.000        0.000        0.006
 2.611        0.000        0.000        0.000        0.000
