Al,O,Y
-14.727070076999999,-6.13627919875,-24.545116795
0,1.0,1.0,-6.190207321666666,OY
0,3.0,2.0,-19.854600387083337,O3Y2
0,2.0,1.0,-9.380227216666665,O2Y
0,3.0,1.0,-8.084369036666665,O3Y
3.0,0,5.0,-2.365138663333333,Al3Y5
1.0,0,3.0,-0.7401250099999999,AlY3
1.0,0,2.0,-0.944105570833333,AlY2
1.0,0,1.0,-0.836693696666666,AlY
2.0,0,3.0,-1.7726330675000028,Al2Y3
2.0,0,1.0,-1.593996606666666,Al2Y
1.0,0,4.0,2.309083938333334,AlY4
3.0,0,1.0,-1.7514805266666649,Al3Y
1.0,3.0,0,-6.350939445000002,AlO3
2.0,1.0,0,-5.160377423333334,Al2O
2.0,3.0,0,-17.132755040000003,Al2O3
38.0,21.0,0,-109.36164133500006,Al38O21
1.0,2.0,0,-8.013698094999999,AlO2
5.0,8.0,0,-42.009497950000004,Al5O8
8.0,3.0,0,-15.286556609999998,Al8O3
11.0,18.0,0,-90.81797868000004,Al11O18
1.0,1.0,0,-3.104231275,AlO
1.0,3.0,1.0,-18.603810964166666,AlO3Y
5.0,12.0,3.0,-73.635350385,Al5O12Y3
1.0,6.0,3.0,-38.36704747500001,AlO6Y3
3.0,6.0,1.0,-35.12928624166667,Al3O6Y
2.0,9.0,4.0,-57.075227824166674,Al2O9Y4
sample
-5.696948929546243,-1.9732726710462594,-7.051033756282663
-6.378497736184056,-1.5672867915243012,-7.645140068596033
-6.972035837541383,-1.143100848684838,-8.352653671025008
-7.868625061829155,-0.5465044613724317,-9.244723846461678
-7.495764222244853,-0.7873406430608503,-8.902813852348508
-7.2992953106751335,-0.8818448279896742,-8.852245298582746
-6.950571411914615,-1.139769490214654,-8.401753147617026
-6.582692466197969,-1.3433237103969968,-8.200667843082064
-6.343582865048477,-1.5180118200719404,-7.900431406298111
-6.7775850947348975,-1.205403682109791,-8.42752690866934
-7.4204186169979405,-0.7682587077872152,-9.1047176021879
-7.573315443373267,-0.7864643760804539,-8.77706688505607
-7.041151914009666,-1.1521377454779782,-8.201312623071976
-7.735315235130426,-0.6467189325166357,-9.066049006382745
-7.256722221373478,-0.9009527847773513,-8.84676862026813
-7.03399404818194,-1.0849360178834944,-8.482049309829454
-7.280941738771219,-0.8822974676089486,-8.881024026612172
-7.436549867228261,-0.8773676640711973,-8.64139636000144
-7.56775338220461,-0.7284751867394189,-9.018293744367972
-7.29141927889803,-0.939384539798464,-8.635213170976094
-6.686242072344391,-1.376057402496562,-7.897150397773098
-6.782404939836257,-1.3075759404294816,-8.010804800221646
-6.135356789779683,-1.6914620843045391,-7.5536738081490356
-7.005067594413337,-1.11938186923363,-8.392476660709917
-7.026010325976797,-1.1555058878048803,-8.213076033819148
-6.746314532420161,-1.2726796938060239,-8.2105404657423
-7.196606824718054,-0.9172905115061327,-8.881610041112042
-7.146195780889531,-0.9671700827267937,-8.766110162610271
-7.716893930036547,-0.6681177782570187,-9.011155798577677
-7.944264940099171,-0.5275621174051022,-9.194426758547639
-7.75619413821027,-0.6425844767541004,-9.047788657633149
-8.249893285442703,-0.27015872705472754,-9.714659744376585
-8.411538344781203,-0.2018533209740515,-9.718472936468455
-7.96254703856464,-0.4365427815224445,-9.528033937969152
-7.6447875833220715,-0.746306038628136,-8.818580001617336
-6.908222433261449,-1.2093875690934317,-8.193862463190523
-5.971361600194329,-1.764154592223397,-7.5362290924491955
-5.400356042546311,-2.119605255598773,-7.066102368361054
-6.038803837404796,-1.779751265208224,-7.361438671825777
-6.021504597543843,-1.713105546522108,-7.656853613005162
-6.153861863635728,-1.658650980979201,-7.6540764316903145
-5.379364809608645,-2.1534370260833033,-6.965760674652376
-6.295210938011982,-1.5589747049365517,-7.817199745233823
-7.0138978248756265,-1.116540959660639,-8.389123248231398
-6.609231702644971,-1.3422392479167784,-8.160773632257932
-6.591344970254833,-1.3753438046446738,-8.05816662599658
-6.8178642073185385,-1.2151324765709182,-8.32147987651876
-6.916272393737972,-1.2223151970140769,-8.128735350713738
-6.29671777957112,-1.621722606721791,-7.563696735494303
-7.240838871966689,-1.0115425787547854,-8.430881693369708
-7.5715604190697485,-0.6765123643720793,-9.219799972395434
-8.497005508807199,-0.16355344215828757,-9.729227178354849
-8.542800082482074,-0.07588412849019878,-10.003580143569081
-8.14290007762472,-0.29258135962350806,-9.803291227131432
-7.40425838439283,-0.7949835708582653,-9.02475187091222
-8.388412242802705,-0.2170049353472722,-9.69640998227307
-8.397669818584232,-0.19261302037109668,-9.778548349208558
-8.46040878421367,-0.18568294249766024,-9.701703717986577
-7.969965730581935,-0.5224966374694379,-9.171854027485688
-7.862842214116663,-0.5170846715178694,-9.372041085400749
-8.181548187038965,-0.31411920533194887,-9.652726328607258
